WellID;SURFX;SURFY;Latitude;Longitude
AD-08;563399.689;3594100.349;32.48232511;45.67476293
AD-09;571000;3589430;32.43973713;45.75529563
AD-1;566872.848;3591492.563;32.4585981;45.71154033
AD-104H;564452.82;3590896.95;32.45336827;45.68575167
AD-10H;567770.79;3590974.06;32.45386661;45.7210567
AD-11;559603.07;3595968.56;32.49938759;45.63447599
AD1-10-1H;565959.1;3590219.7;32.44717083;45.70172949
AD1-10-3H;567858.11;3590701.58;32.45140339;45.72196609
AD1-10-4H;568853.35;3590975.2;32.4538104;45.73257403
AD1-10-5H;568307.64;3590821.77;32.45246004;45.72675717
AD1-11-1H;564985.39;3589447.36;32.44026123;45.6913178
AD1-11-2H;565575.61;3589593.51;32.44154495;45.69760635
AD1-11-3H;566534.51;3590011.48;32.44525832;45.70783612
AD1-11-4H;567535.72;3590258.1;32.44742262;45.71850456
AD1-11-5H;568396.25;3590521.38;32.44974495;45.72767809
AD1-11-6H;569175.33;3590760.6;32.45185464;45.7359838
AD1-11-7H;569949.04;3590980.11;32.4541609;45.74398677
AD1-12-1H;566379.31;3589589.68;32.44146275;45.70615544
AD1-12-2H;567331.05;3589955.5;32.44470543;45.71630565
AD1-12-3H;568101.8;3590117.32;32.44611821;45.72451644
AD1-12-4H;568962.31;3590381.26;32.44844606;45.73368982
AD1-12-5H;569823.8;3590686.1;32.4511421;45.74287711
AD1-12-6H;570613.57;3590879.27;32.45283471;45.75129356
AD1-12-7H;571689.11;3591198.11;32.45614352;45.76242677
AD1-13-1H;565038.5;3588850.4;32.43602163;45.69587907
AD1-13-2H;565893;3589063.5;32.43757472;45.70199302
AD1-13-3H;566851.4;3589420.2;32.43990374;45.71116428
AD1-13-4H;567612.2;3589704.3;32.44223209;45.720336
AD1-13-5H;568572.07;3589947.67;32.44455901;45.72950684
AD1-13-6H;569302.4;3590171.3;32.44688676;45.73868082
AD1-13-7H;570310;3590509.22;32.44951594;45.74803639
AD1-14-1H;566739.9;3589013.5;32.43549985;45.70494651
AD1-14-2H;567419.5;3589281.6;32.43862118;45.71719843
AD1-14-3H;568286;3589549.4;32.44098403;45.72643486
AD1-14-4H;569138;3589807.7;32.44326139;45.73551683
AD1-14-5H;569998.5;3590071.5;32.44558717;45.74469007
AD1-14-6H;570783.9;3590301.4;32.44761109;45.75306187
AD1-15-1H;565254.1;3588257.4;32.42951126;45.6940936
AD1-15-2H;567581.3;3588987.2;32.43595529;45.71889833
AD1-15-3H;566954;3588832.3;32.4345962;45.71221476
AD1-15-4H;567887.54;3589110.28;32.43704734;45.72216471
AD1-15-5H;568643.02;3589341.77;32.43926081;45.73014652
AD1-15-6H;569608.67;3589638.12;32.44170236;45.74051113
AD1-15-7H;570468.33;3589900.97;32.44401926;45.74967533
AD1-16-1H;566732.77;3588442.26;32.43109273;45.70983873
AD1-16-2H;567614.86;3588732.01;32.43365176;45.71923713
AD1-16-3H;568521.802;3588979.735;32.43583094;45.72890085
AD1-16-4H;569315.18;3589234.38;32.43807877;45.7373595
AD1-16-5H;570170.8;3589507.8;32.44049151;45.74648106
AD1-16-6H;571035.14;3589761.96;32.4427293;45.75569441
AD1-16-7H;571944.75;3590039.74;32.44560859;45.76513586
AD1-17-2H;566352.27;3588011.77;32.42716496;45.70587081
AD1-17-3H;567199.11;3588271.66;32.42952857;45.714845
AD1-17-4H;568080.17;3588574.54;32.43228314;45.72418184
AD1-17-5H;568924.24;3588800.5;32.43433817;45.73312668
AD1-18-1H;567229.15;3587928.67;32.4264092;45.71516335
AD1-18-2H;567822.24;3588181.05;32.4287045;45.72144848
AD1-18-3H;568607.84;3588389.49;32.43060018;45.7297737
AD1-18-4H;569490.24;3588660.26;32.43306274;45.73912474
AD1-18-5H;570350.59;3588923.95;32.4354609;45.74824211
AD1-19-3H;567316.21;3587770.87;32.42497407;45.71608595
AD1-19-5H;569100.22;3588227.7;32.42912877;45.73499159
AD1-19-6H;569904.83;3588449.46;32.43114559;45.74351827
AD-12;564446.35;3590915.76;32.45353832;45.68568412
AD-13;569455.34;3589505.21;32.44051304;45.73887031
AD-14;565198.97;3587399.86;32.42177919;45.69344836
AD-15;551985;3598916;32.52635825;45.55354789
AD1-5-1H;564426.94;3591186.87;32.45598499;45.68549613
AD1-5-2H;565092.38;3591390.99;32.45778751;45.69258999
AD1-5-3H;566019.45;3591704.17;32.46055789;45.70247541
AD1-6-2H;566948.44;3591606.47;32.45962105;45.71235268
AD1-6-3H;566190.34;3591385.02;32.45766885;45.70427124
AD1-6-4H;567111.58;3591669.93;32.46018365;45.71409294
AD1-7-1H;564602.58;3590613.38;32.45080163;45.68732553
AD1-7-2H;565407.86;3590859.83;32.45297767;45.69590969
AD1-7-3H;566215.22;3591087.45;32.45498314;45.70451505
AD1-7-4H;567106.78;3591386.84;32.45763034;45.71402172
AD1-8-1H;566029.09;3590736.85;32.45183163;45.70251026
AD1-8-2H;566860.9;3590991.88;32.45408243;45.71137771
AD1-8-3H;567818.73;3591284.32;32.45666237;45.72158904
AD1-8-4H;567270.02;3591144.82;32.45543734;45.71574123
AD1-8-5H;568132.43;3591381.7;32.45752161;45.72493361
AD1-9-1H;564691.42;3590012.87;32.44537955;45.68822949
AD1-9-2H;565614.29;3590277.19;32.44770981;45.69806534
AD1-9-4H;567331.86;3590815.33;32.45246145;45.71637563
AD1-9-5H;568154.93;3591074.81;32.45475194;45.72515081
AD-2;560742.56;3594538.19;32.48652029;45.64642316
AD-205H;560683.62;3595316.4;32.49344623;45.64593579
AD2-10-1H;559166.23;3594244.49;32.48385887;45.62971771
AD2-10-2H;560183.46;3594586.23;32.48688691;45.64056554
AD2-10-3H;561043.68;3594840.74;32.48913579;45.64973733
AD2-11-1H;560750.09;3594416.49;32.48532492;45.64658522
AD2-11-2H;561610.67;3594680.79;32.48766165;45.65576146
AD2-11-3H;561130.65;3594560.9;32.4866067;45.65064481
AD2-1-1H;557396;3596517.5;32.50424078;45.6098804
AD2-12-1H;559499.95;3593719.15;32.47910218;45.63323618
AD2-12-2H;560211.24;3593987.77;32.48148696;45.64082294
AD2-12-3H;561172.28;3594162.13;32.48300729;45.65106197
AD2-12-4H;563419.7;3594918.9;32.4897077;45.67503102
AD2-1-2H;558172.1;3596763.9;32.5066379;45.61929323
AD2-13-1H;561069.59;3593886.98;32.48053093;45.64995125
AD2-13-2H;560445.58;3593724.3;32.47909759;45.64329996
AD2-13-3H;561306.57;3593987.13;32.48142129;45.65247976
AD2-13-4H;563507.5;3594631.97;32.48711444;45.67594614
AD2-1-3H;557675.6;3596588.8;32.50508431;45.61399708
AD2-14-1H;560465.71;3593387.85;32.47606153;45.64349259
AD2-14-2H;561208.21;3593618.82;32.47810436;45.65140905
AD2-14-3H;562232.55;3593927.52;32.4808321;45.66233037
AD2-1-4H;559870.7;3597285.4;32.51125178;45.63740856
AD2-15-1H;561982.5;3593539.01;32.47734151;45.65964372
AD2-15-2H;562822.98;3593796.84;32.47962007;45.66860513
AD2-15-3H;563663.51;3594052.31;32.48187669;45.67756736
AD2-16-1H;560620.3;3592872.7;32.47140634;45.64510498
AD2-16-2H;561572.61;3593099.62;32.47340076;45.65525303
AD2-16-3H;562311.16;3593331.18;32.47544839;45.66312751
AD2-17-1H;562143.9;3592973.8;32.47223409;45.66132371
AD2-17-2H;563123.32;3593241.45;32.47459315;45.67176416
AD2-17-3H;562522.42;3593047.13;32.47287425;45.6653568
AD2-18-1H;561700.74;3592511.51;32.4680884;45.65657726
AD2-18-2H;562607.42;3592787.09;32.4705947;45.6661856
AD2-19-1H;562986.48;3592590.31;32.46880506;45.6702026
AD2-19-2H;563807.5943;3592835.659;32.47103641;45.67890418
AD2-2-1H;556769.1;3596068.7;32.5004397;45.60431531
AD2-2-2H;557760.19;3596324.29;32.50269388;45.61488131
AD2-231H;560678.03;3595335.58;32.49361954;45.64587753
AD2-2-3H;558489.6;3596547;32.50466456;45.62265996
AD2-3-1H;558384.64;3596140.44;32.50100278;45.6215171
AD2-3-2H;557749.34;3595967.53;32.49947626;45.61474392
AD2-3-3H;558708.07;3596301.46;32.50243821;45.62496995
AD2-3-4H;560963.36;3596992.63;32.50855137;45.64902187
AD2-4-1H;557027.81;3595471.44;32.49503853;45.60703352
AD2-4-2H;557858.83;3595779.99;32.49777884;45.61589786
AD2-4-3H;560191.88;3596470.17;32.50388061;45.64077563
AD2-4-4H;559584.59;3596241.45;32.50185019;45.63429656
AD2-5-1H;558628.6;3595648.9;32.49655596;45.62408335
AD2-5-2H;559462.07;3595904.01;32.49881287;45.63297104
AD2-5-4H;561082.99;3596401.18;32.50320961;45.65025699
AD2-6-1H;558111.76;3595176.3;32.49232;45.61855285
AD2-6-2H;560308.34;3595877.52;32.49852827;45.64197736
AD2-6-3H;559641.26;3595645.57;32.49647199;45.63486203
AD2-7-1H;559538.07;3595299.85;32.49335894;45.6337418
AD2-7-3H;561259.08;3595827.7;32.49802682;45.65209411
AD2-7-4H;562119.48;3596091.82;32.50036151;45.66126986
AD2-8-1H;558192.88;3594567.53;32.48682429;45.61937864
AD2-8-3H;560006.4;3595157.16;32.49204659;45.63871749
AD2-8-4H;560869.03;3595394.33;32.49413905;45.64791429
AD2-9-1H;559684.22;3594727.65;32.48818953;45.63526111
AD2-9-2H;560541.51;3594978.53;32.49040621;45.64440148
AD2-9-3H;561434.9;3595254.19;32.49284375;45.65392815
AD2-9-4H;562295.31;3595518.1;32.49517642;45.66310351
AD-3;567794.348;3588486.976;32.43143052;45.72112867
AD-4;553483.351;3597703.809;32.5153523;45.56943303
AD4-10-1H;550569.59;3598301.56;32.52088103;45.53844381
AD4-10-2H;551206.4;3598384.48;32.52159981;45.54522855
AD4-10-3H;552066.7;3598648.43;32.52394077;45.55440299
AD4-10-4H;552927.45;3598906.19;32.52622519;45.56358234
AD4-10-5H;553787.75;3599176.06;32.52861819;45.57275804
AD4-11-1H;550425.97;3597837.47;32.51670116;45.53688977
AD4-11-2H;551387.64;3598154.42;32.51951614;45.54714568
AD4-11-3H;550575.59;3597850.93;32.51681577;45.53848345
AD4-11-4H;551571.82;3598158.15;32.51954124;45.54910685
AD4-11-5H;552537.31;3598478.93;32.52238958;45.55940434
AD4-12-1H;549350.85;3597169.54;32.5107243;45.52540824
AD4-12-3H;552223.39;3598068.4;32.51870116;45.55603913
AD4-12-4H;553103.22;3598338.46;32.52109551;45.56542182
AD4-13-1H;549290.48;3596855.52;32.5078943;45.52474909
AD4-13-2H;550137.24;3597101.16;32.51007222;45.5337765
AD4-13-3H;550981.44;3597373.96;32.5124946;45.54277855
AD4-13-6H;553573.55;3598169.05;32.51954471;45.57041984
AD4-14-1H;551558.41;3597237.07;32.51123311;45.54891357
AD4-15-1H;550355.49;3596554.57;32.50513172;45.53607071
AD4-15-2H;551168.03;3596804.16;32.50734604;45.54473403
AD4-15-3H;552028.58;3597067.64;32.5096828;45.55390964
AD4-15-4H;552888.95;3597331.51;32.51202241;45.56308382
AD4-15-6H;554610.13;3597858.59;32.51669363;45.58143822
AD4-16-2H;552594.59;3596927.34;32.50839052;45.55992743
AD4-16-3H;553566.16;3597244.65;32.5112064;45.5702885
AD4-16-4H;554315.51;3597455.21;32.51306936;45.57827822
AD4-16-5H;553835.23;3597335.55;32.51201335;45.57315822
AD4-16-6H;554650.02;3597557.23;32.51397322;45.5818454
AD4-17-1H;551344.12;3596230.19;32.5021603;45.54657728
AD4-17-2H;552129.15;3596440.42;32.50402014;45.55494553
AD4-17-3H;553064.94;3596757.9;32.50683968;45.56492506
AD4-17-4H;553910.85;3597042.8;32.50936889;45.57394649
AD4-17-5H;554928.64;3597340.96;32.51200858;45.58479903
AD4-18-2H;555461.44;3597110.34;32.50990175;45.59045764
AD4-19-1H;554101.27;3596448.26;32.5039965;45.57593946
AD4-20-1H;555048.4;3596423.9;32.5037302;45.58602034
AD4-21-1H;555100.9;3596119.4;32.50098081;45.58656137
AD4-7-5H;552663.81;3599773.05;32.53405735;45.56082375
AD4-8-3H;552037.65;3599269.46;32.52954421;45.55412807
AD4-8-4H;552798.61;3599500.45;32.53159192;45.56224387
AD4-9-3H;552209.89;3598994.95;32.52705987;45.55594686
AD4-9-5H;552361.22;3599052.43;32.52757124;45.5575614
ADM2-2;565096.9;3591371.51;32.45761153;45.69263674
ADM2-3;565310.44;3591433.18;32.4581553;45.69491295
ADM2-4;566446.22;3591764.33;32.46107514;45.70702037
ADM2-5;566449.02;3591754.95;32.46099036;45.7070495
ADM3-2;565323.34;3590870.15;32.45307573;45.6950112
ADM3-3;565476.93;3590845.1;32.45284074;45.69664349
ADM3-4;566230.22;3591088.37;32.45499055;45.7046747
ADM3-5;566906.03;3591288.12;32.45675193;45.71187886
ADM3-6;567439.66;3591484.75;32.45849339;45.71757036
ADM4-1;564687.59;3589993.04;32.4452009;45.68818739
ADM4-2;565604.21;3590277.77;32.44771564;45.69795815
ADM4-3;566200.4;3590467.93;32.44939565;45.7043139
ADM4-4;566214.77;3590482.81;32.44952902;45.70446782
ADM4-5;567343.55;3590806.94;32.45238506;45.7164994
ADM4-6;567355.16;3590798.56;32.45230877;45.71662232
ADM4-7;568155.48;3591044.71;32.4544804;45.72515449
ADM5-10;569845.21;3590913.48;32.45319181;45.74312172
ADM5-3;566115.5;3589628.88;32.44183206;45.70335191
ADM5-4;566538.57;3589992.11;32.44508335;45.70787794
ADM5-5;567538.64;3590248.73;32.44733792;45.71853495
ADM5-6;567541.64;3590238.97;32.4472497;45.71856617
ADM5-7;568413.95;3590497.21;32.44952584;45.72786464
ADM5-8;569175.44;3590740.45;32.45167287;45.73598349
ADM5-9;569175.36;3590750.49;32.45176344;45.73598337
ADM6-5;567616.84;3589695.52;32.44247803;45.7192718
ADM6-6;567621.55;3589686.69;32.44226302;45.71937668
ADM6-7;568580.69;3589918.91;32.44429905;45.72959645
ADM6-8;569305.01;3590162.3;32.44644965;45.73731946
ADM6-9;569307.86;3590152.36;32.44635981;45.73734905
ADM7-10;570477.7;3589873.16;32.44376826;45.74977399
ADM7-6;567890.14;3589100.67;32.43696049;45.72219167
ADM7-7;568651.88;3589313.17;32.43883061;45.73030969
ADM7-8;569611.54;3589628.37;32.44161423;45.74054094
ADM7-9;569614.33;3589619.11;32.44153053;45.74056994
